Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Renb,Yageo,AC0402FR-0736K5L,1,0.01,3,Resistance: 36.5 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rent,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbb,Vishay-Dale,CRCW040210K0FKED,1,0.01,3,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbt,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Coutx,MuRata,GRM188R71E104KA01D,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 30 mΩ  Package: 0603  
Cin,MuRata,GRM31CR61A476KE15L,1,0.21,10.92,Cap: 47 µF  Total Derated Cap: 19 µF  VDC: 10 V  ESR: 3.71 mΩ  Package: 1206  
L1,MuRata Toko,DFE252012F-1R0M=P2,1,0.13,10.5,L: 1 µH  DCR: 40 mΩ  IDC: 3.3 A  
Cout,MuRata,GRM188R60J226MEA0D,2,0.04,4.68,Cap: 22 µF  Total Derated Cap: 35 µF  VDC: 6.3 V  ESR: 1 mΩ  Package: 0603  
U1,Texas Instruments,TPS564242DRLR,1,0.12,6.76,
Cinx,MuRata,GRM188R71H104KA93D,1,0.02,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 50 V  ESR: 20 mΩ  Package: 0603  
