"Reference","Value","Datasheet","Footprint","Qty","DNP","Vendor","Part Number"
"C11,C12","20p","~",,"2",,,
"C13,C14","10p","~",,"2",,,
"C21,C22,C23,C24,C25,C31,C33,C38,C39,C44,C46,C48,C49,C62,C71,C72,C212,C213,C220,C221,C222,C223,C224,C225,C230,C232,C239,C245,C246,C247,C248,C249,C250,C262,C263,C264,C265,C266,C267,C268,C276,C279,C280,C310,C311,C312,C319,C320,C321,C322,C323,C328,C410","100n","~",,"53",,,
"C26,C27,C35,C45,C47,C61,C214,C215,C226,C227,C233,C234,C240,C241,C257,C258,C316,L22,L23,L210,L211","10u","~",,"21",,,
"C28,C216,C235,C242,C259,C2602","0.1u","~",,"6",,,
"C29,C210,C217,C218,C228,C229,C236,C237,C243,C244,C260,C261","22u","~",,"12",,,
"C32,C34,C313,C314,C315,C324,C325,C326","1n","~",,"8",,,
"C36,C37,C317,C318,L21,L24,L25,L26,L28,L29","1u","~",,"10",,,
"C41,C42,C327","22p","~",,"3",,,
"C43","2u2","~",,"1",,,
"C73","470n","~",,"1",,,
"C211,C219,C231,C238,C251,C252,C253,C254,C255,C256,C269,C270,C271,C272,C273,C274,C275,C277,C278","4u7","~",,"19",,,
"C329","100nf","~",,"1",,,
"D21,D22,D23,D24,D25,D26","D_Schottky","~",,"6",,,
"D71,D72","RED","~",,"2",,,
"FB41,FB42,FB51,FB52,FB53,FB54,FB71","FerriteBead","~",,"7",,,
"J21","Barrel_Jack_Switch_Pin3Ring","~","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","1",,,
"J51,J52,J71","USB_A"," ~","-- mixed values --","3",,,
"R11","20K","~",,"1",,,
"R12,R40,R43,R44,R45,R46,R423,R424,R425,R426,R427","10K","~",,"11",,,
"R13","5k62","~",,"1",,,
"R21,R26,R35,R36,R210,R215,R219,R223","100k","~",,"8",,,
"R22,R27,R211,R216,R220,R224","36.5k","~",,"6",,"Digikey","AC0402FR-0715KL "
"R23,R28,R212","135k","~",,"3",,,
"R24,R29,R213,R226","30k","~",,"4",,,
"R25,R214,R227","1","~",,"3",,,
"R31,R33,R47","DNP","~",,"3",,,
"R32,R34","0","~",,"2",,,
"R37","21k","~",,"1",,,
"R41,R42","1K","~",,"2",,,
"R48,R49,R61,R62,R63,R410,R412,R413,R414,R415,R416,R417","22","~",,"12",,,
"R64,R65,R66","68k","~",,"3",,,
"R71,R73,R74","470","~",,"3",,,
"R72,R217,R218,R221,R222,R419,R420","10k","~",,"7",,,
"R225","95k","~",,"1",,,
"R228,R229","2k2","~",,"2",,,
"R411","39","~",,"1",,,
"R418","6k4","~",,"1",,,
"R421,R422","510","~",,"2",,,
"U1","ATSAMA5D27C",,"custom_footprint:SAMA5D27C-CNVAO","1",,,
"U21","LM3880","http://www.ti.com/lit/ds/symlink/lm3880.pdf","Package_TO_SOT_SMD:SOT-23-6","1",,,
"U22,U23,U24,U25,U26,U27","TPS564242DRL",,"custom_footprint:TPS564247DRLR","6",,,
"U31,U32","W972GG6KB-25",,"custom_footprint:W972GG6KB-25","2",,,
"U41","KSZ8081RNB",,"custom_footprint:KSZ8081RNB","1",,,
"U42","SI-60110-F",,"custom_footprint:SI-60110-F","1",,,
"U61","molex_5025700893",,"custom_footprint:molex_5025700893","1",,,
"U71","MCP2200-I-SO","http://ww1.microchip.com/downloads/en/DeviceDoc/200022228D.pdf","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","1",,,
"X41","ECS-2520MV-xxx-xx","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","1",,,
"Y1","Crystal_GND23_Small","~",,"1",,,
"Y71","Resonator_Small","~",,"1",,,
